gvkey,datadate,tic,gsector,adj_close_q,revenue,net_income,total_assets,total_liabilities,equity,roe,net_income_ratio,pe,pb,debt_to_equity,eps,dps
AAPL,2020-01-02,AAPL,Technology,72.4005355834961,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-03,AAPL,Technology,71.69662475585938,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-06,AAPL,Technology,72.26792907714844,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-07,AAPL,Technology,71.92805480957031,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-08,AAPL,Technology,73.08509826660156,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-09,AAPL,Technology,74.63749694824219,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-10,AAPL,Technology,74.80624389648438,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-13,AAPL,Technology,76.4044189453125,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-14,AAPL,Technology,75.37271881103516,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-15,AAPL,Technology,75.0497055053711,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-16,AAPL,Technology,75.98981475830078,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-17,AAPL,Technology,76.83106994628906,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-21,AAPL,Technology,76.31038665771484,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-22,AAPL,Technology,76.5827865600586,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-23,AAPL,Technology,76.95162963867188,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-24,AAPL,Technology,76.72982788085938,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-27,AAPL,Technology,74.47358703613281,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-28,AAPL,Technology,76.58039855957031,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-29,AAPL,Technology,78.18338012695312,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-30,AAPL,Technology,78.0700912475586,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-01-31,AAPL,Technology,74.60856628417969,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-03,AAPL,Technology,74.40369415283203,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-04,AAPL,Technology,76.86000061035156,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-05,AAPL,Technology,77.48675537109375,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-06,AAPL,Technology,78.39311981201172,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-07,AAPL,Technology,77.32752990722656,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-10,AAPL,Technology,77.69481658935547,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-11,AAPL,Technology,77.22604370117188,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-12,AAPL,Technology,79.05998992919922,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-13,AAPL,Technology,78.49700927734375,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-14,AAPL,Technology,78.51634979248047,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-18,AAPL,Technology,77.07864379882812,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-19,AAPL,Technology,78.19498443603516,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-20,AAPL,Technology,77.39278411865234,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-21,AAPL,Technology,75.64098358154297,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-24,AAPL,Technology,72.04801177978516,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-25,AAPL,Technology,69.60758972167969,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-26,AAPL,Technology,70.71182250976562,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-27,AAPL,Technology,66.08951568603516,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-02-28,AAPL,Technology,66.05086517333984,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-02,AAPL,Technology,72.20024108886719,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-03,AAPL,Technology,69.90721893310547,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-04,AAPL,Technology,73.14981079101562,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-05,AAPL,Technology,70.77706146240234,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-06,AAPL,Technology,69.83715057373047,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-09,AAPL,Technology,64.31356048583984,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-10,AAPL,Technology,68.94554138183594,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-11,AAPL,Technology,66.55101776123047,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-12,AAPL,Technology,59.97880172729492,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-13,AAPL,Technology,67.16474914550781,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-16,AAPL,Technology,58.52421188354492,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-17,AAPL,Technology,61.097530364990234,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-18,AAPL,Technology,59.601863861083984,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-19,AAPL,Technology,59.14519119262695,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-20,AAPL,Technology,55.39033508300781,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-23,AAPL,Technology,54.21360397338867,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-24,AAPL,Technology,59.65260314941406,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-25,AAPL,Technology,59.32399368286133,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-26,AAPL,Technology,62.44580078125,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-27,AAPL,Technology,59.860408782958984,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-30,AAPL,Technology,61.568702697753906,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-03-31,AAPL,Technology,61.443058013916016,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-01,AAPL,Technology,58.21010208129883,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-02,AAPL,Technology,59.181434631347656,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-03,AAPL,Technology,58.33091735839844,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-06,AAPL,Technology,63.419559478759766,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-07,AAPL,Technology,62.68500518798828,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-08,AAPL,Technology,64.28941345214844,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-09,AAPL,Technology,64.75332641601562,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-13,AAPL,Technology,66.02429962158203,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-14,AAPL,Technology,69.35871887207031,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-15,AAPL,Technology,68.72566223144531,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-16,AAPL,Technology,69.27173614501953,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-17,AAPL,Technology,68.33180236816406,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-20,AAPL,Technology,66.91345977783203,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-21,AAPL,Technology,64.84515380859375,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-22,AAPL,Technology,66.7129135131836,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-23,AAPL,Technology,66.4543685913086,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-24,AAPL,Technology,68.37287139892578,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
AAPL,2020-04-27,AAPL,Technology,68.42122650146484,29.305,,,,5.998,1.5202099,,31.660759,41.700565,102.63,7.9,1.04
